name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
Tinizong,,,,Tinizong,CH,69.5,Hydro,Reservoir,,1971,,46.5825064851,9.61064835764,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Nandrò,,,,"Riom - Parsonz",CH,1.59,Hydro,Run-of-river,,2011,,46.5681520979,9.5702754213,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Tiefencastel Ost",,,,Tiefencastel,CH,52,Hydro,Reservoir,,1970,,46.6644016578,9.56270347437,,"Renewable energy",Hydro,,,"#NAME?;                                                  ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Tiefencastel West",,,,Tiefencastel,CH,26,Hydro,Run-of-river,,1949,,46.6644016578,9.56270347437,,"Renewable energy",Hydro,,,"#NAME?;                                                  ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Solis,,,,Vaz/Obervaz,CH,7.3,Hydro,Run-of-river,,1978,,46.6819220936,9.52521300017,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Sils (EWZ)",,,,"Sils im Domleschg",CH,26,Hydro,Run-of-river,,1996,,46.7040817391,9.46406852744,12W-0000000016-H,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Rothenbrunnen (EWZ)",,,,Rothenbrunnen,CH,44,Hydro,Reservoir,,1976,,46.7739461705,9.42098533692,12W-0000000011-W,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Reichenau,,,,Domat-Ems,CH,19.06,Hydro,Run-of-river,,1962,,46.8377337086,9.44733101447,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Arosa-Litzirüti,,,,Litzirüti,CH,5,Hydro,Run-of-river,,1969,,46.8000493529,9.70591198066,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"KW Sagenbach",,,,"Lüen, Tewald",CH,3.55,Hydro,Run-of-river,,2013,,46.8284428074,9.60614992526,,"Renewable energy",Hydro,,,"- Zentralen Lüen (Sagenbach) und Lüen (Plessur, Clasaurer) in einem Gebäude; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Molinis-Lüen,,,,"Lüen, Tewald",CH,7.2,Hydro,Run-of-river,,1990,,46.8284428074,9.60614992526,,"Renewable energy",Hydro,,,"- Zentralen Lüen (Plessur, Clasaurer) und Lüen (Sagenbach) in einem Gebäude; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Plessurwerk,,,,"Chur, Sand",CH,9.4,Hydro,Run-of-river,,2011,,46.8404306281,9.54250541843,,"Renewable energy",Hydro,,,"#NAME?; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Rabiusawerk,,,,"Chur, Sand",CH,0.71,Hydro,Run-of-river,,2012,,46.8404306281,9.54250541843,,"Renewable energy",Hydro,,,"#NAME?;  ; ",https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Klosters,,,,Klosters,CH,16.5,Hydro,Reservoir,,1982,,46.861014512,9.89557404649,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Schlappin,,,,Klosters-Dorf,CH,6.1,Hydro,Run-of-river,,2000,,46.8850480052,9.87855790113,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Küblis,,,,Küblis,CH,45.6,Hydro,Run-of-river,,2006,,46.913974185,9.78202924909,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
Taschinas,,,,Seewis,CH,11.33,Hydro,Run-of-river,,2011,,46.9828412314,9.64486330331,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
"Igiser Mülbach 1 (Landquart 1)",,,,Landquart-Fabriken,CH,0.5,Hydro,Run-of-river,,1978,,46.9593278102,9.57988985784,,"Renewable energy",Hydro,,,,https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/statistik-der-wasserkraftanlagen.html
